Classe;DesignRole;NOM;LOCC;Concorda?;
br.gov.se.sefaz.deh.dao.DAOProtocoloDigitalizacaoSQLBean;PERSISTENCE;18;193;SIM;
br.gov.se.sefaz.deh.dao.DAOCaixaPostalMensagemSQLBean;PERSISTENCE;15;114;SIM;
br.gov.se.sefaz.deh.dao.DAOControleImagemSQLBean;PERSISTENCE;5;35;SIM;
br.gov.se.sefaz.deh.dao.DAOPermissaoComunicadoSQLBean;PERSISTENCE;9;120;SIM;
br.gov.se.sefaz.deh.dao.DAOSocioEnderecoSQLBean;PERSISTENCE;10;127;SIM;
br.gov.se.sefaz.deh.dao.DAOTelefoneCaixaPostalSQLBean;PERSISTENCE;12;89;SIM;
br.gov.se.sefaz.deh.dao.DAODiarioEletronicoSQLBean;PERSISTENCE;16;147;SIM;
br.gov.se.sefaz.deh.dao.util.DAOUtilSQLBean;PERSISTENCE;42;461;SIM;
br.gov.se.sefaz.deh.dao.DAOCustodiaisSQLBean;PERSISTENCE;63;459;SIM;
br.gov.se.sefaz.deh.dao.DAOParametroDiarioSQLBean;PERSISTENCE;10;83;SIM;
br.gov.se.sefaz.deh.dao.DAOParametroDomicilioSQLBean;PERSISTENCE;10;71;SIM;
br.gov.se.sefaz.deh.dao.DAODocumentoProtocoloSQLBean;PERSISTENCE;15;147;SIM;
br.gov.se.sefaz.deh.dao.DAOProcuradorCaixaPostalSQLBean;PERSISTENCE;18;330;SIM;
br.gov.se.sefaz.deh.dao.DAOMensagemComunicadoSQLBean;PERSISTENCE;20;282;SIM;
br.gov.se.sefaz.deh.dao.DAODiarioEletronicoTempSQLBean;PERSISTENCE;8;89;SIM;
br.gov.se.sefaz.deh.dao.DAOCaixaPostalPessoaSQLBean;PERSISTENCE;20;283;SIM;
br.gov.se.sefaz.deh.ne.EntidadeCaixaPostalPessoa;ENTITY;42;145;SIM;
br.gov.se.sefaz.deh.ne.EntidadeParametroDomicilio;ENTITY;15;44;SIM;
br.gov.se.sefaz.deh.ne.EntidadeMensagemComunicado;ENTITY;54;188;SIM;
br.gov.se.sefaz.deh.ne.EntidadeTributo;ENTITY;10;34;SIM;
br.gov.se.sefaz.deh.ne.EntidadeTelefoneCaixaPostal;ENTITY;10;34;SIM;
br.gov.se.sefaz.deh.ne.EntidadeCategoria;ENTITY;10;34;SIM;
br.gov.se.sefaz.deh.ne.EntidadeProtocoloDigitalizacao;ENTITY;28;97;SIM;
br.gov.se.sefaz.deh.ne.EntidadeSocioEndereco;ENTITY;26;90;SIM;
br.gov.se.sefaz.deh.ne.EntidadeTipoDocumento;ENTITY;8;27;SIM;
br.gov.se.sefaz.deh.ne.EntidadeControleImagem;ENTITY;17;51;SIM;
br.gov.se.sefaz.deh.ne.EntidadeEstagioProcDocumento;ENTITY;28;97;SIM;
br.gov.se.sefaz.deh.ne.EntidadeProcuradorCaixaPostal;ENTITY;78;268;SIM;
br.gov.se.sefaz.deh.ne.EntidadePermissaoComunicado;ENTITY;18;62;SIM;
br.gov.se.sefaz.deh.ne.EntidadeDiarioEletronicoTemp;ENTITY;35;118;SIM;
br.gov.se.sefaz.deh.ne.EntidadeParametroDiario;ENTITY;28;96;SIM;
br.gov.se.sefaz.deh.ne.EntidadeDocumentoProtocolo;ENTITY;24;83;SIM;
br.gov.se.sefaz.deh.ne.EntidadeAssuntoPublicacao;ENTITY;10;32;SIM;
br.gov.se.sefaz.deh.ne.EntidadeCaixaPostalMensagem;ENTITY;12;41;SIM;
br.gov.se.sefaz.deh.ne.EntidadeDocumentoPossivel;ENTITY;8;27;SIM;
br.gov.se.sefaz.deh.ne.EntidadeOrigem;ENTITY;10;34;SIM;
br.gov.se.sefaz.deh.ne.EntidadeDiarioEletronico;ENTITY;43;147;SIM;
br.gov.se.sefaz.deh.ng.GerenciadorPermissaoComunicado;UNDEFINED;8;60;SIM;
br.gov.se.sefaz.deh.ng.GerenciadorProtocoloDigitalizacao;UNDEFINED;17;80;SIM;
br.gov.se.sefaz.deh.ng.util.GerenciadorUtil;UNDEFINED;65;745;SIM;
br.gov.se.sefaz.deh.ng.util.ParametrosDEH;UNDEFINED;0;0;SIM;
br.gov.se.sefaz.deh.ng.GerenciadorDiarioEletronico;UNDEFINED;25;267;SIM;
