Class;DesignRole;Approaches;Method;LOC;CC;Efferent;NOP;Smell;
br.gov.se.sefaz.sae.custodiais.to.TransacaoCustodiais;TRANSACAO; R, D ;getContadorAtivos;9;1;9;4;Muitos Parâmetros
br.gov.se.sefaz.sae.isencaoTributos.to.certidaoIPVA.EmitirCertidaoNegativa;TRANSACAO; R ;process;60;8;19;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;atribuirPropiedadesItemDaeICMSContribuiteInscritoEspecial;193;33;11;2;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeTipoOperacao;ENTITY; D ;setDsTipoOperacao;5;3;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeTalonario;ENTITY; D ;adicionarValoresDAEManual;7;2;3;1;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeMotivoTalao;ENTITY; D ;getEntiadeSituacaoTalao;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.AlterarItemDAE;TRANSACAO; R, D ;validaValorTotalReceitaAtualizado;16;5;7;5;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorTalonario;GERENCIADORBASE; R, D ;obterOcorrenciasNavegacao;19;3;10;6;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorBase;TEST; R, D ;registrarHistoricoDesmembrarDAE;3;1;2;9;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;[CONSTANTES]; R, D ;registrarHistoricoCustodialGMR;14;3;7;5;Muitos Parâmetros
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineDAE;BACKGROUNDPROCESS; D ;validarSituacaoDocumento;33;19;14;3;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R ;atribuirValoresDED;80;27;13;3;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.ExcluirItemDAE;TRANSACAO; R, D ;process;133;33;13;0;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.desmembramento.das.AlterarDASDesmembramento;TRANSACAO; R, D ;initialize;80;34;11;0;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;alterarDadosConcBancaria;93;75;9;5;Método Longo
br.gov.se.sefaz.sae.ne.ValorCampoLayout;ENTITY; D ;getValorCampoLayout;12;3;6;3;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeHistUnidadeTalao;ENTITY; D ;getEntidadeCampoDoc;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;GERENCIADORBASE; R, D ;gerarDAEDIA;132;42;20;5;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;GNRE; R, D ;setGNRE;186;57;23;3;Muitos Desvios
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.IncluirVencimentoIcms;TRANSACAO; R ;process;256;55;18;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.ng.GerenciadorBase;TEST; R, D ;obterVencimentoPSDI;97;19;14;2;Método Longo
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;CONSULTAAVANCADATRANSBASE; R, D ;montaDoctoSaida;91;17;13;5;Muitos Parâmetros
br.gov.se.sefaz.sae.util.campo.CamposSAE;[CONSTANTES, CONSTANTESEMISSAODAE]; R, D ;formatarDocumento;51;22;2;2;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;calcularITD;44;9;11;5;Muitos Parâmetros
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNRE;BACKGROUNDPROCESS; R, D ;registrarRecolhimentoDocumento;230;62;30;0;Muitos Desvios
br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;CONSULTAAVANCADATRANSBASE; R, D ;montaFiltroIntervaloData;71;31;7;1;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.ConsultarContribuinteDAEManual;TRANSACAO; R, D ;process;118;40;19;0;Muitos Desvios
br.gov.se.sefaz.sae.tb.arquivo.ReceberArquivo;BACKGROUNDPROCESS; R ;run;114;24;11;0;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;[CONSTANTES]; R, D ;registrarHistoricoCustodialCmdSQLEntidadeCredora;94;8;8;6;Muitos Parâmetros
br.gov.se.sefaz.sae.ne.EntidadeMotivoAlteracaoDoc;ENTITY; D ;setDsMotivo;5;3;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;registrarSubstituirDAEMensal;3;1;3;4;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorTalonario;GERENCIADORBASE; R, D ;registrarHistoricoTalao;9;1;5;5;Muitos Parâmetros
br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;TRANSACAO; R, D ;ocultarCampoDAEManualViaEletronica;390;56;12;2;Método Longo
br.gov.se.sefaz.sae.ne.EntidadeVencimentoICMS;ENTITY; D ;setNrMesRefInicial;4;2;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeVencimentoICMS;ENTITY; D ;getEntidadeProdutoSAE;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeUnidadeTalao;ENTITY; D ;setDtCadastro;4;2;3;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;obterVencimentoPSDIDiferido;7;1;5;4;Muitos Parâmetros
br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;TRANSACAO; R, D ;verificarAlteracaoDAEManualViaEletronica;623;169;16;1;Método Longo
br.gov.se.sefaz.sae.ne.EntidadeVencimentoICMS;ENTITY; D ;setDtOperacao;4;2;3;1;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;TRANSACAO; R, D ;verificarAlteracaoDAEDuplicado;67;38;8;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;verificarContaRepetida;10;2;6;5;Muitos Parâmetros
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasse;TRANSACAO; R, D ;gravarArquivoRepasseDAE;382;67;17;5;Muitos Parâmetros
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;CONSULTAAVANCADATRANSBASE; R, D ;montarFiltroArg;375;44;15;4;Muitos Parâmetros
br.gov.se.sefaz.sae.ne.EntidadeVeiculoDetranNova;ENTITY; D ;getFlParcelamento;6;2;1;0;Muitos Desvios
